timestamp,person,role,content,ai_reasoning
2026-04-09 17:39:50,system,mode,Mode: Coach,
2026-04-09 17:39:50,system,debate_ended,Debate ended by participant,
,,,,
2026-04-09 17:40:02,K,survey_start,,
2026-04-09 17:40:02,K,survey_stance_shift,4,
2026-04-09 17:40:02,K,survey_conversation_depth,4,
2026-04-09 17:40:02,K,survey_ai_helpfulness,4,
2026-04-09 17:40:02,K,survey_ai_utilization,4,
,,,,
2026-04-09 17:41:03,K,survey_start,,
2026-04-09 17:41:03,K,survey_stance_shift,5,
2026-04-09 17:41:03,K,survey_conversation_depth,4,
2026-04-09 17:41:03,K,survey_ai_helpfulness,4,
2026-04-09 17:41:03,K,survey_ai_utilization,4,
,,,,
2026-04-09 17:41:13,K,survey_start,,
2026-04-09 17:41:13,K,survey_stance_shift,5,
2026-04-09 17:41:13,K,survey_conversation_depth,5,
2026-04-09 17:41:13,K,survey_ai_helpfulness,4,
2026-04-09 17:41:13,K,survey_ai_utilization,4,
,,,,
2026-04-09 17:41:19,H,survey_start,,
2026-04-09 17:41:19,H,survey_stance_shift,4,
2026-04-09 17:41:19,H,survey_conversation_depth,4,
2026-04-09 17:41:19,H,survey_ai_helpfulness,4,
2026-04-09 17:41:19,H,survey_ai_utilization,4,
,,,,
2026-04-09 17:41:26,H,survey_start,,
2026-04-09 17:41:26,H,survey_stance_shift,3,
2026-04-09 17:41:26,H,survey_conversation_depth,3,
2026-04-09 17:41:26,H,survey_ai_helpfulness,4,
2026-04-09 17:41:26,H,survey_ai_utilization,5,
